Name,Description,Type,Unit
wearTime-weekend-avg,Accelerometer wear time weekend proportion average,numeric,proportion of time
cutPointMVPA-weekday-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity weekday proportion average,numeric,proportion of time
cutPointMVPA-weekend-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity weekend proportion average,numeric,proportion of time
cutPointVPA-weekday-avg,Accelerometer-derived cut-point-based vigorous physical activity weekday proportion average,numeric,proportion of time
cutPointVPA-weekend-avg,Accelerometer-derived cut-point-based vigorous physical activity weekend proportion average,numeric,proportion of time
acc-hourOfWeekday-0-avg,Acceleration 00:00 - 00:59 weekday average,numeric,milligravity
acc-hourOfWeekday-1-avg,Acceleration 01:00 - 01:59 weekday average,numeric,milligravity
acc-hourOfWeekday-2-avg,Acceleration 02:00 - 02:59 weekday average,numeric,milligravity
acc-hourOfWeekday-3-avg,Acceleration 03:00 - 03:59 weekday average,numeric,milligravity
acc-hourOfWeekday-4-avg,Acceleration 04:00 - 04:59 weekday average,numeric,milligravity
acc-hourOfWeekday-5-avg,Acceleration 05:00 - 05:59 weekday average,numeric,milligravity
acc-hourOfWeekday-6-avg,Acceleration 06:00 - 06:59 weekday average,numeric,milligravity
acc-hourOfWeekday-7-avg,Acceleration 07:00 - 07:59 weekday average,numeric,milligravity
acc-hourOfWeekday-8-avg,Acceleration 08:00 - 08:59 weekday average,numeric,milligravity
acc-hourOfWeekday-9-avg,Acceleration 09:00 - 09:59 weekday average,numeric,milligravity
acc-hourOfWeekday-10-avg,Acceleration 10:00 - 10:59 weekday average,numeric,milligravity
acc-hourOfWeekday-11-avg,Acceleration 11:00 - 11:59 weekday average,numeric,milligravity
acc-hourOfWeekday-12-avg,Acceleration 12:00 - 12:59 weekday average,numeric,milligravity
acc-hourOfWeekday-13-avg,Acceleration 13:00 - 13:59 weekday average,numeric,milligravity
acc-hourOfWeekday-14-avg,Acceleration 14:00 - 14:59 weekday average,numeric,milligravity
acc-hourOfWeekday-15-avg,Acceleration 15:00 - 15:59 weekday average,numeric,milligravity
acc-hourOfWeekday-16-avg,Acceleration 16:00 - 16:59 weekday average,numeric,milligravity
acc-hourOfWeekday-17-avg,Acceleration 17:00 - 17:59 weekday average,numeric,milligravity
acc-hourOfWeekday-18-avg,Acceleration 18:00 - 18:59 weekday average,numeric,milligravity
acc-hourOfWeekday-19-avg,Acceleration 19:00 - 19:59 weekday average,numeric,milligravity
acc-hourOfWeekday-20-avg,Acceleration 20:00 - 20:59 weekday average,numeric,milligravity
acc-hourOfWeekday-21-avg,Acceleration 21:00 - 21:59 weekday average,numeric,milligravity
acc-hourOfWeekday-22-avg,Acceleration 22:00 - 22:59 weekday average,numeric,milligravity
acc-hourOfWeekday-23-avg,Acceleration 23:00 - 23:59 weekday average,numeric,milligravity
acc-hourOfWeekend-0-avg,Acceleration 00:00 - 00:59 weekend average,numeric,milligravity
acc-hourOfWeekend-1-avg,Acceleration 01:00 - 01:59 weekend average,numeric,milligravity
acc-hourOfWeekend-2-avg,Acceleration 02:00 - 02:59 weekend average,numeric,milligravity
acc-hourOfWeekend-3-avg,Acceleration 03:00 - 03:59 weekend average,numeric,milligravity
acc-hourOfWeekend-4-avg,Acceleration 04:00 - 04:59 weekend average,numeric,milligravity
acc-hourOfWeekend-5-avg,Acceleration 05:00 - 05:59 weekend average,numeric,milligravity
acc-hourOfWeekend-6-avg,Acceleration 06:00 - 06:59 weekend average,numeric,milligravity
acc-hourOfWeekend-7-avg,Acceleration 07:00 - 07:59 weekend average,numeric,milligravity
acc-hourOfWeekend-8-avg,Acceleration 08:00 - 08:59 weekend average,numeric,milligravity
acc-hourOfWeekend-9-avg,Acceleration 09:00 - 09:59 weekend average,numeric,milligravity
